Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-hzku,Question Key,Response
1,1569494161402,26/09/2019 10:36:01,1569494159184,1,26/09/2019 11:35:59,9842,4,questionnaire-kdt5,,3112853,BLIND,860658,,complete,,5d8c9405488d8b00160ab6e3,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 13.0.1,1280x800,1280x737,,personally salient items,13,eligible,BEGIN QUESTIONNAIRE,
2,1569494404007,26/09/2019 10:40:04,1569494401708,1,26/09/2019 11:40:01,9842,4,questionnaire-kdt5,,3112853,BLIND,860658,,complete,,5d8c9405488d8b00160ab6e3,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 13.0.1,1280x800,1280x737,,personally salient items,13,eligible,injury_worry,6
3,1569494404087,26/09/2019 10:40:04,1569494401710,1,26/09/2019 11:40:01,9842,4,questionnaire-kdt5,,3112853,BLIND,860658,,complete,,5d8c9405488d8b00160ab6e3,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 13.0.1,1280x800,1280x737,,personally salient items,13,eligible,response-5,5
4,1569494404087,26/09/2019 10:40:04,1569494401710,1,26/09/2019 11:40:01,9842,4,questionnaire-kdt5,,3112853,BLIND,860658,,complete,,5d8c9405488d8b00160ab6e3,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 13.0.1,1280x800,1280x737,,personally salient items,13,eligible,response-5-quantised,5
5,1569494404087,26/09/2019 10:40:04,1569494401710,1,26/09/2019 11:40:01,9842,4,questionnaire-kdt5,,3112853,BLIND,860658,,complete,,5d8c9405488d8b00160ab6e3,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 13.0.1,1280x800,1280x737,,personally salient items,13,eligible,response-6-quantised,5
6,1569494404087,26/09/2019 10:40:04,1569494401710,1,26/09/2019 11:40:01,9842,4,questionnaire-kdt5,,3112853,BLIND,860658,,complete,,5d8c9405488d8b00160ab6e3,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 13.0.1,1280x800,1280x737,,personally salient items,13,eligible,response-7,6
7,1569494404087,26/09/2019 10:40:04,1569494401710,1,26/09/2019 11:40:01,9842,4,questionnaire-kdt5,,3112853,BLIND,860658,,complete,,5d8c9405488d8b00160ab6e3,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 13.0.1,1280x800,1280x737,,personally salient items,13,eligible,injury_worry-quantised,6
8,1569494404087,26/09/2019 10:40:04,1569494401710,1,26/09/2019 11:40:01,9842,4,questionnaire-kdt5,,3112853,BLIND,860658,,complete,,5d8c9405488d8b00160ab6e3,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 13.0.1,1280x800,1280x737,,personally salient items,13,eligible,response-6,5
9,1569494404087,26/09/2019 10:40:04,1569494401711,1,26/09/2019 11:40:01,9842,4,questionnaire-kdt5,,3112853,BLIND,860658,,complete,,5d8c9405488d8b00160ab6e3,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 13.0.1,1280x800,1280x737,,personally salient items,13,eligible,response-8-quantised,4
10,1569494404087,26/09/2019 10:40:04,1569494401711,1,26/09/2019 11:40:01,9842,4,questionnaire-kdt5,,3112853,BLIND,860658,,complete,,5d8c9405488d8b00160ab6e3,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 13.0.1,1280x800,1280x737,,personally salient items,13,eligible,response-9-quantised,5
11,1569494404087,26/09/2019 10:40:04,1569494401711,1,26/09/2019 11:40:01,9842,4,questionnaire-kdt5,,3112853,BLIND,860658,,complete,,5d8c9405488d8b00160ab6e3,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 13.0.1,1280x800,1280x737,,personally salient items,13,eligible,response-10,2
12,1569494404087,26/09/2019 10:40:04,1569494401711,1,26/09/2019 11:40:01,9842,4,questionnaire-kdt5,,3112853,BLIND,860658,,complete,,5d8c9405488d8b00160ab6e3,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 13.0.1,1280x800,1280x737,,personally salient items,13,eligible,response-8,4
13,1569494404087,26/09/2019 10:40:04,1569494401711,1,26/09/2019 11:40:01,9842,4,questionnaire-kdt5,,3112853,BLIND,860658,,complete,,5d8c9405488d8b00160ab6e3,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 13.0.1,1280x800,1280x737,,personally salient items,13,eligible,response-7-quantised,6
14,1569494404087,26/09/2019 10:40:04,1569494401711,1,26/09/2019 11:40:01,9842,4,questionnaire-kdt5,,3112853,BLIND,860658,,complete,,5d8c9405488d8b00160ab6e3,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 13.0.1,1280x800,1280x737,,personally salient items,13,eligible,response-9,5
15,1569494404087,26/09/2019 10:40:04,1569494401712,1,26/09/2019 11:40:01,9842,4,questionnaire-kdt5,,3112853,BLIND,860658,,complete,,5d8c9405488d8b00160ab6e3,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 13.0.1,1280x800,1280x737,,personally salient items,13,eligible,response-11-quantised,3
16,1569494404087,26/09/2019 10:40:04,1569494401712,1,26/09/2019 11:40:01,9842,4,questionnaire-kdt5,,3112853,BLIND,860658,,complete,,5d8c9405488d8b00160ab6e3,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 13.0.1,1280x800,1280x737,,personally salient items,13,eligible,response-12,4
17,1569494404087,26/09/2019 10:40:04,1569494401712,1,26/09/2019 11:40:01,9842,4,questionnaire-kdt5,,3112853,BLIND,860658,,complete,,5d8c9405488d8b00160ab6e3,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 13.0.1,1280x800,1280x737,,personally salient items,13,eligible,response-10-quantised,2
18,1569494404087,26/09/2019 10:40:04,1569494401712,1,26/09/2019 11:40:01,9842,4,questionnaire-kdt5,,3112853,BLIND,860658,,complete,,5d8c9405488d8b00160ab6e3,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 13.0.1,1280x800,1280x737,,personally salient items,13,eligible,response-11,3
